Subject,Movement_sequence,Movement_repetition,Movement_orientation,Xsens_recording_name,Xsens_comment,,Heure Xsens,Time diff,Pupil time,Pupil_folder,Pupil_recording_name,labeled,Expertise,Picture_face,Picture_side,max_threshold_acceleration,air_time_threshold,Xsens_jump_idx,Pupil_jump_idx,Pupil_frames_zero,Xsens_frames_zero,Treatment,,State,Twist_side,Notes
SoMe,4-o 41o 4-o 41o 4-o 41o 4-o 41o 4-o 41o,0 0 1 1 2 2 3 3 4 4,1 1 -1 -1 1 1 -1 -1 1 1,SoMe_18,SoMe_4-_41_5,Test_17032021-040,3:46:30,12:08:33,15:55:03,2021-08-18_15-55-03-70661bfd,f50429b1_0.0-35.983,,Elite,SoMe_face.jpg,SoMe_cote.jpg,,,1 2 3 4 5,0 1 2 3 4,,0 130,,,OK,G,
SaMi,4-/ 43/ 4-o 4-/ 43/ 4-/ 43/,0 0 0 1 1 2 2,1 1 -1 1 1 1 1,SaMi_01,SaMi_4-_43_1,Test_17032021-041,4:35:21,12:08:26,16:43:47,2021-08-18_16-43-47-bb7bd88b,f60d249b_0.0-60.05,Mat,Elite,IMG_7359.JPG,IMG_7360.JPG,3.5,0.25,2 3 4 5 6,0 1 2 3 4,,460 660,,,OK,G,
SaMi,4-/ 43/ 4-/ 43/ 4-/ 43/,0 0 1 1 2 2,1 1 1 1 1 1,SaMi_02,SaMi_4-_43_2,Test_17032021-042,4:41:36,12:08:26,16:50:02,2021-08-18_16-50-02-b15355e5,9884f602_0.0-52.451,Mat,Elite,IMG_7359.JPG,IMG_7360.JPG,3.5,0.25,0 1 2 3 4 5,0 1 2 3 4 5,,670 870,,,OK,G,Attention tete croche!!!
SaMi,41/ 42/ 41/ 42/ 41/ 42/ 41/ 42/ 41/ 42/,0 0 1 1 2 2 3 3 4 4,1 -1 -1 1 1 -1 -1 1 1 -1,SaMi_03,SaMi_41_42_1,Test_17032021-043,4:44:52,12:08:26,16:53:18,2021-08-18_16-53-18-ec36e005,41400296_0.0-44.243,Mat,Elite,IMG_7359.JPG,IMG_7360.JPG,3.5,0.25,7 8 9 10 11,0 1 2 3 4,,1125 1325,,,OK,G,Attention tete croche!!!
SaMi,4-/ 8-3<,0 0,1 1,SaMi_04,SaMi_83_1,Test_17032021-044,4:48:54,12:08:26,16:57:20,2021-08-18_16-57-20-95b6c4f3,60ccd5ca_0.0-197.348,,Elite,IMG_7359.JPG,IMG_7360.JPG,,,,,,,,,,,Pas de saut
SaMi,4-/ 8-3< 4-/ 8-3< 4-/ 8-3<,0 0 1 1 2 2,1 1 1 1 1 1,SaMi_05,SaMi_8-3_2,Test_17032021-045,4:53:44,12:08:26,17:02:10,2021-08-18_17-02-10-b9909759,2ab6e9eb_0.0-58.851,Mat,Elite,IMG_7359.JPG,IMG_7360.JPG,4,0.5,1 2 3 4 5 6,0 1 2 3 4 5,,50 250,,,OK,G,
SaMi,4-/ 8-3< 4-/ 8-3<,0 0 1 1,1 1 1 1,SaMi_06,SaMi_8-3_2,Test_17032021-046,4:55:57,12:08:26,17:04:23,2021-08-18_17-04-23-371d080b,4bf72986_0.0-43.061,Mat,Elite,IMG_7359.JPG,IMG_7360.JPG,,,,,,,,,,,Problem Xsens
SaMi,4-/ 8-1o,0 0,1 1,SaMi_07,SaMi_8-1_1,Test_17032021-048,4:59:18,12:08:26,17:07:44,2021-08-18_17-07-44-77a628fb,d74a7fd2_0.0-99.247,,Elite,IMG_7359.JPG,IMG_7360.JPG,,,1 2 3 4 5 6 7 8,0 1 2 3 4 5 6 7,,0 140,,,OK,G,
SaMi,4-/ 8-1o 8--o 8-1o 8--o 8-1o,0 0 0 1 1 2,1 1 -1 -1 1 1,SaMi_08,SaMi_8-1_8--_2,Test_17032021-049,5:04:09,12:08:26,17:12:35,2021-08-18_17-12-35-edf3a650,2e573bd0_0.0-33.592,Mat,Elite,IMG_7359.JPG,IMG_7360.JPG,,,,,,0 40,,,OK,G,
SaMi,4-/ 8-1o 8--o 8-1o,0 0 0 1,1 1 -1 1,SaMi_09,SaMi_8-1_8--_3,Test_17032021-050,5:08:05,12:08:26,17:16:31,2021-08-18_17-16-31-3bbe0932,125b2cf9_0.0-294.335,,Elite,IMG_7359.JPG,IMG_7360.JPG,,,,,,100 300,,,OK,G,
